Year,Date,Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
2019,2019-02-14,1,,Soldi,Isac Elliot & Mahmood,1,11966902,,https://www.youtube.com/watch?v=22lISUXgSUw
2019,2019-02-21,1,1.0,Soldi,Mahmood,2,11911312,-0.02%,https://www.youtube.com/watch?v=22lISUXgSUw
2019,2019-02-28,1,1.0,Soldi,Mahmood,3,9121441,-0.23%,https://www.youtube.com/watch?v=22lISUXgSUw
2019,2019-03-07,1,1.0,Soldi,Mahmood,4,7578198,-0.17%,https://www.youtube.com/watch?v=22lISUXgSUw
2019,2019-03-14,1,1.0,Soldi,Mahmood,5,5846961,-0.23%,https://www.youtube.com/watch?v=22lISUXgSUw
2019,2019-03-21,1,1.0,Soldi,Mahmood,6,5143954,-0.12%,https://www.youtube.com/watch?v=22lISUXgSUw
2019,2019-03-28,2,1.0,Soldi,Mahmood,7,4759097,-0.07%,https://www.youtube.com/watch?v=22lISUXgSUw
2019,2019-04-04,4,2.0,Soldi,Mahmood,8,3798191,-0.20%,https://www.youtube.com/watch?v=22lISUXgSUw
2020,2020-02-13,1,71.0,Fai Rumore,Diodato,2,5911076,13.91%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2020,2020-02-20,1,1.0,Fai Rumore,Diodato,3,6257764,0.06%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2020,2020-02-27,2,1.0,Fai Rumore,Diodato,4,4520175,-0.28%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2020,2020-03-05,3,2.0,Fai Rumore,Diodato,5,3580957,-0.21%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2020,2020-03-12,4,3.0,Fai Rumore,Diodato,6,2847130,-0.20%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2020,2020-03-19,3,4.0,Fai Rumore,Diodato,7,2856380,0%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2020,2020-03-26,6,3.0,Fai Rumore,Diodato,8,2137003,-0.25%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2020,2020-04-02,10,6.0,Fai Rumore,Diodato,9,1853505,-0.13%,https://www.youtube.com/watch?v=tPv9ZPXmFWU
2021,2021-03-11,3,35.0,ZITTI E BUONI,Måneskin,2,5139351,7.38%,https://www.youtube.com/watch?v=QN1odfjtMoo
